Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
283,SEAT,Ibiza,12990,1.0 EcoTSI 70kW Style Connect,2017,17561,Gasolina,Manual,Viladecans,8,0.739707305962075,economy,9.472012088995733,9.773492755919941
284,Volkswagen,Polo,11990,Advance 1.2 TSI 90CV BMT DSG,2015,95677,Gasolina,Automatica,Mataró,10,0.1253174744191394,economy,9.391911647379432,11.468743665955953
285,SEAT,Ibiza,12990,1.0 MPI 59kW (80CV) Style,2018,60000,Gasolina,Manual,Sabadell 3,7,0.2165,economy,9.472012088995733,11.002116507732017
286,Toyota,Avensis,14990,2.0 150D BUSINESS ADVANCE TS,2018,119000,Diésel,Manual,Mataró,7,0.12596638655462186,economy,9.615205300012315,11.686887175419702
287,Volkswagen,Golf,14990,2.0 TDI 150cv DSG,2013,141100,Diésel,Automatica,Mataró,12,0.10623671155209072,economy,9.615205300012315,11.85723122498801
290,Ford,Kuga,14990,1.5 TDCi 88kW 4x2 A-S-S Trend,2017,69000,Diésel,Manual,Sabadell 3,8,0.2172463768115942,economy,9.615205300012315,11.141876276228
294,SEAT,Tarraco,24990,2.0 TDI 110kW (150CV) S&S Style Plus,2019,65833,Diésel,Manual,Mataró,6,0.379596858718272,economy,10.126271039034782,11.094891701186208
296,Ford,EcoSport,15490,1.0T EcoBoost 92kW (125CV) S&S ST Line,2019,25000,Gasolina,Manual,Badalona,6,0.6196,economy,9.648014489106362,10.12667110305036
298,SEAT,Ateca,18990,1.6 TDI 85kW (115CV) St&Sp Style Eco,2018,112250,Diésel,Manual,Hospitalet,7,0.16917594654788418,economy,9.851720461714244,11.628492714250788
299,Peugeot,3008,19490,1.6BLUEHDI 120 HP ALLURE S&S,2016,95200,Diésel,Manual,Hospitalet,9,0.20472689075630252,economy,9.87770809954864,11.463745724925968
302,Peugeot,208,7490,5P ALLURE 1.2L PureTech 82,2015,145954,Gasolina,Manual,Viladecans,10,0.05131753840251038,economy,8.921457578947882,11.891053634003098
303,BMW,Serie 1,12490,116d,2013,75600,Diésel,Manual,Hospitalet,12,0.1652116402116402,luxury,9.43276366396591,11.233224789593368
304,Audi,Q3,21490,Sport ed 2.0 TDI 135kW(184CV) quat S tro,2017,161400,Diésel,Automatica,Hospitalet,8,0.13314745972738537,luxury,9.975389521825205,11.991647230585656
305,Hyundai,ix20,9990,1.4 MPI Klass,2014,57800,Gasolina,Manual,Hospitalet,11,0.17283737024221454,economy,9.209439966733019,10.96476135554887
307,Peugeot,208,15990,PureTech 73kW (100CV) EAT8 Active,2020,21660,Gasolina,Automatica,Sabadell 3,5,0.7382271468144044,economy,9.679781342959442,9.983268687540978
309,BMW,X1,10990,sDrive20d,2012,135000,Diésel,Manual,Sabadell 3,13,0.0814074074074074,luxury,9.3048320350689,11.813037464800539
310,Hyundai,ix35,7990,1.7 CRDi GL Classic 4x2,2012,186350,Diésel,Manual,Sabadell 3,13,0.04287630802253824,economy,8.986071187374462,12.135387271139317
311,BMW,Serie 1,15990,116d EfficientDynamics,2017,98600,Diésel,Manual,Sabadell 3,8,0.16217038539553752,luxury,9.679781342959442,11.498836682527127
312,BMW,X1,20490,xDrive18d,2018,110000,Diésel,Automatica,Sabadell 3,7,0.18627272727272728,luxury,9.927741044336832,11.608244735642321
313,Ford,Fiesta,13990,1.5 TDCi 63kW Trend+ 5p,2018,28467,Diésel,Manual,Sabadell 3,7,0.49144623599255277,economy,9.546169544733285,10.256535928419162
315,BMW,Serie 3,15490,318d Touring,2015,144900,Diésel,Automatica,Sabadell 3,10,0.10690131124913733,luxury,9.648014489106362,11.883806029596208
316,Toyota,Auris,15990,1.8 140H Advance Touring Sports,2018,64000,Híbrido,Automatica,Sabadell 3,7,0.24984375,economy,9.679781342959442,11.06665398721974
317,Audi,Q3,29990,35 TFSI 110kW (150CV),2019,18200,Gasolina,Automatica,Sabadell 1,6,1.6478021978021977,luxury,10.30865261563529,9.809231816610406
320,Kia,Picanto,10990,1.0 CVVT 49kW (67CV) Concept,2019,16509,Gasolina,Manual,Granollers,6,0.665697498334242,economy,9.3048320350689,9.711721536914173
322,Peugeot,2008,12490,Allure 1.2 PureTech 130 S&S,2016,87000,Gasolina,Manual,Granollers,9,0.1435632183908046,economy,9.43276366396591,11.373674891823535
325,Peugeot,308,10990,5p Access 1.6 BlueHDi 73KW (100CV),2017,115000,Diésel,Manual,Granollers,8,0.09556521739130434,economy,9.3048320350689,11.652696102959753
326,BMW,Serie 3,23990,320d xDrive Gran Turismo,2017,126000,Diésel,Automatica,Granollers,8,0.1903968253968254,luxury,10.085434038999999,11.744045122410057
328,BMW,X5,30990,sDrive25d,2018,101240,Diésel,Automatica,Viladecans,7,0.30610430659818255,luxury,10.341452118734878,11.525259092129044
329,Volkswagen,Scirocco,16990,Typhoon by R-Line 1.4 TSI 92kW (125CV),2017,73153,Gasolina,Manual,Gavá,8,0.23225294929804657,economy,9.740439071085758,11.2003220871132
